cod_tienda,sku_a,sku_b,boletas,soporte,confianza_a_b,confianza_b_a,lift,desc_a,desc_b
MAPOC,102517,126528,234,0.00151,0.3071,0.5021,102.03,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA ALUMINIO 2 UND KUTZ
MAIPU,115846,131026,232,0.00472,0.1204,0.2698,6.877,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
MAPOC,152618,152619,232,0.0015,0.331,0.2311,51.037,PACK 10 PILAS ALCALINAS AA 1.5V DAIRU,PACK 10 PILAS ALCALINAS AAA 1.5V DAIRU
MAPOC,19868,33903,231,0.00149,0.4125,0.5804,160.47,TAB. CANAL NORMAL 61X20X0.5X3.0MT,TAB. MONTANTE NORMAL 60X38X6X0.5X2.4MT
RENAC,115846,1205,225,0.00295,0.1562,0.2545,13.472,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
RANCA,102517,143601,224,0.00457,0.5103,0.6038,67.367,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
MAPOC,100639,100648,223,0.00144,0.6371,0.5792,256.229,BAJADA CEMENTAR (10) P25 BLANCO,GANCHO TRADICIONAL P25 BLANCO
RANCA,115846,131026,222,0.00453,0.1032,0.3633,8.27,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
HUECH,83297,87998,222,0.00233,0.5068,0.6549,142.437,TAB. ESTRUCTURAL C 2X3X8X0.85X6MT 60X38,TAB. CANAL ESTRUCTURAL U 2X3X0.85X6MT 62X25
TEMUC,115846,1205,217,0.01876,0.1586,0.2568,2.171,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
TEMUC,115846,124032,216,0.01868,0.1579,0.2992,2.529,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
MAPOC,74900,76860,215,0.00139,0.1532,0.2081,22.969,PINO SECO CEPILLADO 1 X 2 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 3 X 3.20 MTS.
MAPOC,19868,19869,213,0.00138,0.3804,0.5561,153.761,TAB. CANAL NORMAL 61X20X0.5X3.0MT,TAB. MONTANTE NORMAL 60X38X6X0.5X3.0MT
SANRO,114693,32823,208,0.00127,0.161,0.1047,13.264,SOBERBIO 3 16 X 2 100UNDS A.SCREW,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,1205,122563,206,0.00133,0.0966,0.1892,13.737,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44",MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA
MAIPU,126115,32823,201,0.00409,0.1341,0.1494,4.897,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,100640,100648,201,0.0013,0.5776,0.5221,232.278,CANALETA LARGO 4 MT (10) P25 BLANCO,GANCHO TRADICIONAL P25 BLANCO
SANRO,72713,72714,198,0.00121,0.1075,0.1722,15.295,PLANCHA MDF 500 15MM 1.52 X 2.44,PLANCHA MDF 500 18MM 1.52 X 2.44
MAIPU,133926,32823,198,0.00403,0.1614,0.1472,5.894,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
VALPA,115846,1205,197,0.00733,0.2539,0.3064,10.611,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
RENAC,128645,133926,197,0.00258,0.1845,0.1603,11.439,ESCUADRA PLASTICA BLANCA 50UNDS,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
CONCE,122563,124032,194,0.00213,0.0812,0.2392,9.138,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
SANRO,74900,76860,194,0.00119,0.1591,0.2323,31.187,PINO SECO CEPILLADO 1 X 2 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 3 X 3.20 MTS.
SANRO,125055,126115,193,0.00118,0.1631,0.0827,11.433,TELESCOPICA H45-CS 30KG 450MM ZINCADO KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
HUECH,152618,152619,193,0.00203,0.3238,0.2822,45.102,PACK 10 PILAS ALCALINAS AA 1.5V DAIRU,PACK 10 PILAS ALCALINAS AAA 1.5V DAIRU
MAIPU,114693,32823,191,0.00389,0.218,0.142,7.963,SOBERBIO 3 16 X 2 100UNDS A.SCREW,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,100639,100640,189,0.00122,0.54,0.5431,240.252,BAJADA CEMENTAR (10) P25 BLANCO,CANALETA LARGO 4 MT (10) P25 BLANCO
SANRO,122563,124032,188,0.00115,0.0643,0.1023,5.731,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
SANRO,32823,72272,188,0.00115,0.0947,0.3602,29.674,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 25 100 UNIDADES
PMONT,115846,124032,187,0.00292,0.0724,0.3031,7.514,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
RENAC,133926,32823,185,0.00243,0.1505,0.1182,7.331,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
VESPU,115847,1205,183,0.00451,0.1556,0.1271,4.382,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAPOC,74900,74901,182,0.00118,0.1297,0.1376,15.181,PINO SECO CEPILLADO 1 X 2 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 4 X 3.20 MTS.
MAIPU,128645,32823,181,0.00368,0.2785,0.1346,10.17,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
PMONT,128645,32823,179,0.00279,0.1588,0.1751,9.956,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,133499,5620,178,0.00115,0.1476,0.0931,11.952,YESO ROMERAL SACO 25KG,YESO-CARTON 10MM 2.4MT X 1.2MT
MAPOC,102517,143432,177,0.00114,0.2323,0.5655,114.902,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA METALICO OVALADA CROMADO 2 UNI DVP
SANRO,125832,125833,177,0.00108,0.1069,0.4527,44.757,BISAG. 35 RECTA C/SUAVE-3D-CLIP-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-3D-CLIP-TORN 2UNID KUTZ
MAPOC,126115,126116,177,0.00114,0.0757,0.3365,22.294,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
MAPOC,126115,128645,175,0.00113,0.0749,0.1287,8.525,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
HUECH,126115,128645,175,0.00184,0.0846,0.146,6.724,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
MAPOC,19868,5620,174,0.00112,0.3107,0.091,25.161,TAB. CANAL NORMAL 61X20X0.5X3.0MT,YESO-CARTON 10MM 2.4MT X 1.2MT
HUECH,115846,131026,174,0.00183,0.0803,0.1777,7.814,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
SANRO,126115,32823,171,0.00105,0.0732,0.0861,6.034,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAIPU,126115,126116,168,0.00342,0.1121,0.5,16.385,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
MAPOC,139684,86792,167,0.00108,0.6302,0.2642,154.385,CURVA CONDUIT 90º 16MM 10UN,TUBO CONDUIT PVC  16MM  TIRA 3MT
CONCE,102517,143601,166,0.00182,0.3585,0.4511,88.875,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
MAPOC,100663,95255,165,0.00107,0.5,0.6762,317.273,GANCHO TRADICIONAL  P25 MARRON,CANALETA LARGO 4 MT (10) P25 MARRON
SANRO,126115,143258,165,0.00101,0.0707,0.0901,6.315,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BOLSA VEGETAL 45X40X12 KUTZ
SANRO,72386,72713,164,0.001,0.306,0.089,27.18,MDF MELAMINA BLANCO 1CARA 15MM 1.52 X 2.44,PLANCHA MDF 500 15MM 1.52 X 2.44
SANRO,126115,128645,164,0.001,0.0702,0.0873,6.116,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
HUECH,115847,1205,164,0.00172,0.1393,0.1135,9.186,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAPOC,100648,100653,164,0.00106,0.426,0.6332,254.645,GANCHO TRADICIONAL P25 BLANCO,UNION CANALETA (10) P25 BLANCO
VESPU,115846,115847,164,0.00404,0.0928,0.1395,3.199,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83
SANRO,128645,137182,162,0.00099,0.0862,0.2812,24.492,ESCUADRA PLASTICA BLANCA 50UNDS,SOPORTE REPISA FIJO BLANCO BOLSA 50 UN
HUECH,128645,133926,161,0.00169,0.1343,0.0969,7.702,ESCUADRA PLASTICA BLANCA 50UNDS,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
MAPOC,81115,81947,160,0.00103,0.613,0.5405,320.657,TAB. CANAL ESTRUCTURAL U 2X4X0.85X6MT 92X30,TAB. ESTRUCTURAL C 2X4X12X0.85X6MT 90X38
TALCA,115846,124032,160,0.00403,0.102,0.2484,6.293,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
TEMUC,122563,124032,160,0.01383,0.2195,0.2216,3.516,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
MAPOC,74901,76860,159,0.00103,0.1202,0.1539,18.013,PINO SECO CEPILLADO 1 X 4 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 3 X 3.20 MTS.
MAPOC,22960,5620,159,0.00103,0.1297,0.0832,10.502,PINO BRUTO 2 X 2 X 3.20 MTS.,YESO-CARTON 10MM 2.4MT X 1.2MT
SEREN,128645,32823,157,0.00313,0.1912,0.1677,10.25,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAIPU,126115,133926,157,0.0032,0.1047,0.128,4.193,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
MAPOC,128645,32823,157,0.00101,0.1154,0.1229,13.997,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
SANRO,102517,143432,156,0.00095,0.1579,0.5512,91.295,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA METALICO OVALADA CROMADO 2 UNI DVP
SANRO,1205,128315,156,0.00095,0.0375,0.1347,5.296,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44","MELAMINA BLANCA 15MM 1,83 X 2,44 SWED"
SANRO,128645,133926,156,0.00095,0.083,0.0949,8.263,ESCUADRA PLASTICA BLANCA 50UNDS,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
MAIPU,114693,126115,156,0.00318,0.1781,0.1041,5.836,SOBERBIO 3 16 X 2 100UNDS A.SCREW,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
SANRO,19868,33903,154,0.00094,0.4843,0.6135,315.708,TAB. CANAL NORMAL 61X20X0.5X3.0MT,TAB. MONTANTE NORMAL 60X38X6X0.5X2.4MT
MAPOC,100663,100669,154,0.00099,0.4667,0.7333,344.064,GANCHO TRADICIONAL  P25 MARRON,UNION CANALETA (10) P25 MARRON
TALCA,126115,133926,153,0.00385,0.1186,0.15,4.621,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
MAIPU,115847,1205,153,0.00311,0.1962,0.0929,5.85,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAPOC,126115,32823,153,0.00099,0.0655,0.1198,7.938,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,5620,5621,152,0.00098,0.0795,0.2852,23.093,YESO-CARTON 10MM 2.4MT X 1.2MT,YESO-CARTON 15 MM  2.4MT X 1.2MT
PMONT,128645,133926,151,0.00236,0.134,0.1074,6.105,ESCUADRA PLASTICA BLANCA 50UNDS,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
TALCA,126115,126116,150,0.00377,0.1163,0.4298,13.241,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
MAPOC,100639,100653,150,0.00097,0.4286,0.5792,256.198,BAJADA CEMENTAR (10) P25 BLANCO,UNION CANALETA (10) P25 BLANCO
SANRO,10474,79038,150,0.00092,0.3268,0.1559,55.586,HUAIPE SEDA BLANCO 1RA 1 KILO,DILUYENTE DP-100 DILOX 5 LTS.
MAPOC,134039,91440,149,0.00096,0.1262,0.3379,44.295,PASTA MURO F-15 TAJAMAR TI,CINTA VOLCANITA 2 X 90 MT
SANRO,115847,124032,149,0.00091,0.0605,0.0811,5.393,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
HUECH,126115,133926,147,0.00154,0.0711,0.0885,4.077,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
VALPA,128645,32823,147,0.00547,0.3568,0.1717,11.202,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
VESPU,115846,131026,147,0.00362,0.0831,0.1528,3.505,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
MAPOC,126037,138144,147,0.00095,0.1007,0.1546,16.392,CINTA ENMASCARAR ESTÁNDAR TESA 48MMX40M,RODILLO CONDOR CORTA GOTAS 18 CM
SANRO,73276,76727,147,0.0009,0.4682,0.2658,138.525,LAM. RECTA F6 GRANITINO NEGRO 3014 BR 122 X 306,LAM. RECTA F6 CLASSIC 3111 BR 122 X 306
MAPOC,72328,72713,146,0.00094,0.2019,0.1312,28.091,PLANCHA MDF  9MM 1.52 X 2.44,PLANCHA MDF 500 15MM 1.52 X 2.44
MAPOC,134039,5530,146,0.00094,0.1236,0.132,17.306,PASTA MURO F-15 TAJAMAR TI,LIJA MADERA GRANO 120 PLIEGO
MAPOC,100654,100663,146,0.00094,0.73,0.4424,342.501,BAJADA CEMENTAR (10) P25 MARRON,GANCHO TRADICIONAL  P25 MARRON
MAPOC,115846,131026,146,0.00094,0.0713,0.1309,9.894,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
SANRO,128645,150002,146,0.00089,0.0777,0.1518,13.217,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 BOLSA 100UN KHOR
MAIPU,32823,72272,145,0.00295,0.1078,0.4739,17.306,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 25 100 UNIDADES
RENAC,133629,133630,143,0.00188,0.3773,0.5543,111.464,ARENA GRUESA SACO 25 K,GRAVILLA SACO 25 K
MAPOC,100639,79813,143,0.00092,0.4086,0.662,292.864,BAJADA CEMENTAR (10) P25 BLANCO,TAPA ACCESORIO UNIV P25 BLANCO
CONCE,133080,134039,142,0.00156,0.229,0.2773,40.806,YESO VOLCAN SACO 25KG.,PASTA MURO F-15 TAJAMAR TI
MAPOC,100639,100651,142,0.00092,0.4057,0.6667,294.912,BAJADA CEMENTAR (10) P25 BLANCO,TAPA CANALETA UNIV (10) P25 BLANCO
RANCA,128645,32823,142,0.0029,0.2403,0.1473,12.208,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,5620,86077,142,0.00092,0.0743,0.3191,25.84,YESO-CARTON 10MM 2.4MT X 1.2MT,TABIGAL CIELO PORTANTE 40X18X10X05X3MT
VALPA,115846,131026,141,0.00525,0.1817,0.2765,9.575,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
SEREN,126115,32823,141,0.00281,0.1069,0.1506,5.73,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
SANRO,125056,126115,140,0.00086,0.1683,0.06,11.792,TELESCOPICA H45-CS 30KG 500MM ZINCADO KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
MAPOC,10474,79038,140,0.0009,0.284,0.1449,45.515,HUAIPE SEDA BLANCO 1RA 1 KILO,DILUYENTE DP-100 DILOX 5 LTS.
MAPOC,16417,25632,140,0.0009,0.5344,0.5809,343.291,TABIGAL CANAL ECONOMICA 39X20X0.5X3.0MT,TAB. MONTANTE ECONOMICO 38X38X6X0.5X2.4MT
CONCE,125055,126115,140,0.00153,0.1961,0.0849,10.847,TELESCOPICA H45-CS 30KG 450MM ZINCADO KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
RENAC,132429,133629,139,0.00182,0.1506,0.3668,30.285,CEMENTO MELON SACO 25KG.,ARENA GRUESA SACO 25 K
RANCA,126115,126116,139,0.00284,0.142,0.3248,16.249,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
TALCA,110307,115846,138,0.00347,0.3441,0.088,8.717,"TAPACANTO PVC BLANCO 22X0,45MM  RO 50MT",MELAMINA BLANCA VESTO 15MM 2.50 X 1.83
MAPOC,116983,94478,137,0.00088,0.109,0.2404,29.605,TORNILLO LENTEJA 8 X 1/2 PTA BROCA (CJ-100UND),TORNILLO VOLCANITA PTA BROCA 1.1/4X6 ZINCADO 100UN
SANRO,114693,126115,137,0.00084,0.106,0.0587,7.431,SOBERBIO 3 16 X 2 100UNDS A.SCREW,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
MAPOC,115846,124032,137,0.00088,0.0669,0.1846,13.952,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
SANRO,76727,76730,137,0.00084,0.2477,0.3948,116.824,LAM. RECTA F6 CLASSIC 3111 BR 122 X 306,LAM. RECTA F6 FLORENTINO NEGRO 0513 BR 122 X 306
RENAC,115846,131026,136,0.00178,0.0944,0.2054,10.874,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
MAPOC,146532,146543,136,0.00088,0.4416,0.68,341.83,CODO 90° FUSION PPR 20MM CCS,TEE FUSION PPR 20MM CCS
RENAC,126115,32823,135,0.00177,0.1487,0.0863,7.241,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAPOC,100648,100651,135,0.00087,0.3506,0.6338,254.886,GANCHO TRADICIONAL P25 BLANCO,TAPA CANALETA UNIV (10) P25 BLANCO
PMONT,102517,126528,135,0.00211,0.3553,0.4515,76.12,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA ALUMINIO 2 UND KUTZ
