cod_tienda,sku_a,sku_b,boletas,soporte,confianza_a_b,confianza_b_a,lift,desc_a,desc_b
CONCE,92282,93706,52,0.00057,0.5149,0.486,438.933,ABRAZADERA TUBO 80 (10) P25 MARRON,TUBO BAJADA D 80X3MT (3) P25 MARRON
PMONT,128645,137182,52,0.00081,0.0461,0.2694,15.316,ESCUADRA PLASTICA BLANCA 50UNDS,SOPORTE REPISA FIJO BLANCO BOLSA 50 UN
HUECH,126115,143601,52,0.00055,0.0251,0.088,4.053,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
HUECH,133806,5203,52,0.00055,0.1461,0.1503,40.218,LATEX EXTRACUBRIENTE SIPA BLANCO 4 GL,RODILLO LIZCAL CHIPORRO NATURAL 18CM UNI
MAIPU,103742,126432,52,0.00106,0.1323,0.13,16.249,TIRADOR MET. MADRID AC/INOX  96X12MM TUBULAR KUTZ,BISAG. 35  RECTA C/TORN - 2UNDS KUTZ
MAIPU,100663,100667,52,0.00106,0.5909,0.7222,403.148,GANCHO TRADICIONAL  P25 MARRON,TAPA CANALETA UNIV (10) P25 MARRON
HUECH,22960,76838,52,0.00055,0.0875,0.1229,19.716,PINO BRUTO 2 X 2 X 3.20 MTS.,TAPA PINO 1 X 4 X 3.20 MT
VALPA,100648,100653,52,0.00193,0.3969,0.5652,115.956,GANCHO TRADICIONAL P25 BLANCO,UNION CANALETA (10) P25 BLANCO
VESPU,131026,98014,52,0.00128,0.0541,0.1224,5.158,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT",ADHES. CONTACTO AFIX PREN ARTECOLA 1/4 GLN.
RENAC,22960,5620,52,0.00068,0.094,0.09,12.4,PINO BRUTO 2 X 2 X 3.20 MTS.,YESO-CARTON 10MM 2.4MT X 1.2MT
VESPU,71161,76742,52,0.00128,0.416,0.4727,153.36,LAM. RECTA F6 GRANITO 3012 BR 122 X 306,LAM. RECTA F6 GRANITO KOMBI 0670 BR 122 X 306
SEREN,126115,150001,52,0.00104,0.0394,0.1705,6.485,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,SOBERBIO 3 16 X 2 - BOLSA 100UN KHOR
RENAC,32823,72272,52,0.00068,0.0332,0.3611,17.587,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 25 100 UNIDADES
HUECH,83297,87336,52,0.00055,0.1187,0.2811,61.136,TAB. ESTRUCTURAL C 2X3X8X0.85X6MT 60X38,TABIGAL ESTRUCTURAL OMEGA 38X35X15X8X0.85X 6MT
TEMUC,74902,74903,52,0.0045,0.1799,0.3333,13.339,PINO SECO CEPILLADO 1 X 5 X 3.20 MTS,PINO SECO CEPILLADO 1 X 6 X 3.20 MTS.
TEMUC,74900,74903,52,0.0045,0.1857,0.3333,13.768,PINO SECO CEPILLADO 1 X 2 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 6 X 3.20 MTS.
CONCE,114693,125036,52,0.00057,0.1123,0.0756,14.891,SOBERBIO 3 16 X 2 100UNDS A.SCREW,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ
HUECH,11080,128645,52,0.00055,0.159,0.0434,12.635,TARUGO PARA VOLCANITA 100 UNIDADES,ESCUADRA PLASTICA BLANCA 50UNDS
MAIPU,126115,79039,52,0.00106,0.0347,0.1402,4.593,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,DILUYENTE DP-100 DILOX 1 LT.
CONCE,122563,144301,52,0.00057,0.0218,0.3537,13.513,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,MELAMINA TORI SW 15MM 1.83 X 2.50 VESTO
RENAC,115846,115847,52,0.00068,0.0361,0.1409,7.459,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83
TALCA,115846,115847,52,0.00131,0.0331,0.1625,4.116,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83
MAIPU,102517,32823,52,0.00106,0.1145,0.0387,4.183,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
RANCA,126433,133926,52,0.00106,0.1398,0.0566,7.45,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
TALCA,134039,5530,52,0.00131,0.194,0.2088,30.968,PASTA MURO F-15 TAJAMAR TI,LIJA MADERA GRANO 120 PLIEGO
MAIPU,130966,32823,52,0.00106,0.1253,0.0387,4.576,"TAPACANTO PVC BLANCO 22X0,45MM RO 100MT",TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
HUECH,114693,72273,52,0.00055,0.0605,0.1008,11.176,SOBERBIO 3 16 X 2 100UNDS A.SCREW,TORNILLO AGLOMERADO 4 X 15 CAJA 100 UN
RANCA,102517,143432,51,0.00104,0.1162,0.5795,64.664,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA METALICO OVALADA CROMADO 2 UNI DVP
HUECH,417,554,51,0.00054,0.244,0.2107,96.062,RIEL GALVANIZADO DUCASSE U-20 TIRA 2.00MTS,CORREDERA DUCASSE D7-D14 SIMPLE CON POLIN
RENAC,126037,138144,51,0.00067,0.1039,0.1069,16.597,CINTA ENMASCARAR ESTÁNDAR TESA 48MMX40M,RODILLO CONDOR CORTA GOTAS 18 CM
RANCA,110307,32823,51,0.00104,0.1056,0.0529,5.365,"TAPACANTO PVC BLANCO 22X0,45MM  RO 50MT",TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
PMONT,128645,139309,51,0.0008,0.0453,0.1238,7.037,ESCUADRA PLASTICA BLANCA 50UNDS,BISAG. 35 RECTA C/SUAVE-CLIP 10UNDS KUTZ
VESPU,110307,128645,51,0.00126,0.0829,0.0648,4.273,"TAPACANTO PVC BLANCO 22X0,45MM  RO 50MT",ESCUADRA PLASTICA BLANCA 50UNDS
RENAC,130966,133926,51,0.00067,0.1629,0.0415,10.105,"TAPACANTO PVC BLANCO 22X0,45MM RO 100MT",TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
MAIPU,126115,74236,51,0.00104,0.034,0.0893,2.927,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,"TAPACANTO ENCOLADO BLANCO 22X0,45MM RO 25 MT"
MAIPU,118607,32823,51,0.00104,0.2757,0.0379,10.068,SOBERBIO 3 16 X 2 - 100UNDS PATTA,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
RANCA,110307,133926,51,0.00104,0.1056,0.0555,5.628,"TAPACANTO PVC BLANCO 22X0,45MM  RO 50MT",TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
RENAC,125832,128645,51,0.00067,0.0738,0.0478,5.267,BISAG. 35 RECTA C/SUAVE-3D-CLIP-TORN -2UNDS KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
MAIPU,125055,133926,51,0.00104,0.1232,0.0416,4.932,TELESCOPICA H45-CS 30KG 450MM ZINCADO KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
RENAC,125036,133926,51,0.00067,0.1301,0.0415,8.068,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,126115,150435,51,0.00054,0.0247,0.1259,5.801,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,SISTEMA PUSH MECANICO 30N PARA PUERTA KUTZ
HUECH,128645,74236,51,0.00054,0.0425,0.1325,10.525,ESCUADRA PLASTICA BLANCA 50UNDS,"TAPACANTO ENCOLADO BLANCO 22X0,45MM RO 25 MT"
CONCE,100654,100663,51,0.00056,0.6296,0.4679,526.936,BAJADA CEMENTAR (10) P25 MARRON,GANCHO TRADICIONAL  P25 MARRON
HUECH,146562,152639,51,0.00054,0.15,0.4554,127.59,CODO PVC SANITARIO GRIS 50MM,TUBO PVC GRIS 50 MM X 1MT
RANCA,102517,133926,51,0.00104,0.1162,0.0555,6.192,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
CONCE,125036,126433,51,0.00056,0.0741,0.0853,11.308,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ
PMONT,103743,128645,51,0.0008,0.0929,0.0453,5.281,TIRADOR MET. MADRID AC/INOX 128X12MM TUBULAR KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
MAIPU,103742,32823,51,0.00104,0.1298,0.0379,4.739,TIRADOR MET. MADRID AC/INOX  96X12MM TUBULAR KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
TALCA,95625,95628,51,0.00128,0.1536,0.1214,14.536,TORNILLO VOLCANITA PTA AGUJA 1 1/4X6 ZINC R.GR 100,TORNILLO VOLCANITA PTA AGUJA 2X6 ZINC R.GR 100UN
MAIPU,100654,100667,51,0.00104,0.7083,0.7083,483.26,BAJADA CEMENTAR (10) P25 MARRON,TAPA CANALETA UNIV (10) P25 MARRON
HUECH,133926,149983,51,0.00054,0.0307,0.0955,5.478,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN,TORNILLO AGLOMERADO 3.5 X 15 BALDE 500UN KHOR
HUECH,22353,72272,51,0.00054,0.3469,0.1765,114.366,TORNILLO AGLOMERADO 3.5 X 45 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 25 100 UNIDADES
SEREN,103742,32823,51,0.00102,0.1584,0.0545,8.49,TIRADOR MET. MADRID AC/INOX  96X12MM TUBULAR KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
HUECH,5620,81536,51,0.00054,0.0557,0.1848,19.218,YESO-CARTON 10MM 2.4MT X 1.2MT,ESQUINERO VOLCANITA 30X30X2.4MT
VESPU,128648,133926,51,0.00126,0.1729,0.0449,6.166,SOPORTE REPISA PLASTICO/METAL BLANCO 50UNID,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,125035,126115,51,0.00054,0.1364,0.0247,6.282,TELESCOPICA H45-STD 40KG 400MM ZINCADO KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
MAIPU,100654,95255,51,0.00104,0.7083,0.6711,457.826,BAJADA CEMENTAR (10) P25 MARRON,CANALETA LARGO 4 MT (10) P25 MARRON
HUECH,137411,83297,51,0.00054,0.2394,0.1164,52.079,TAB. CANAL ESTRUCTURAL U 2X3X0.85X3MT 62X25,TAB. ESTRUCTURAL C 2X3X8X0.85X6MT 60X38
RANCA,128645,95628,51,0.00104,0.0863,0.0774,6.414,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO VOLCANITA PTA AGUJA 2X6 ZINC R.GR 100UN
RENAC,139685,98920,51,0.00067,0.4215,0.1624,102.309,CURVA CONDUIT 90º 20MM 10UN,TUBO CONDUIT PVC  20MM  TIRA 3MT
SEREN,142092,16408,51,0.00102,0.4397,0.2189,94.667,SOPORTE BARRA REDONDO BLANCO BOLSA 2 UN.,BARRA CLOSET PLASTICA 1MT.BLANCA UNID
TEMUC,74906,76860,51,0.00441,0.2948,0.2024,13.529,PINO SECO CEPILLADO 2 X 2 X 3.20 MTS.,PINO SECO CEPILLADO 1 X 3 X 3.20 MTS.
MAIPU,1205,133926,51,0.00104,0.031,0.0416,1.24,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44",TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
TALCA,125035,125036,51,0.00128,0.1232,0.0922,8.853,TELESCOPICA H45-STD 40KG 400MM ZINCADO KUTZ,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ
VALPA,128174,138144,51,0.0019,0.2629,0.1609,22.287,BROCHA WESSER ECO VERDE 2 PULGADA UN (C.C),RODILLO CONDOR CORTA GOTAS 18 CM
HUECH,100639,100651,51,0.00054,0.3864,0.6,433.032,BAJADA CEMENTAR (10) P25 BLANCO,TAPA CANALETA UNIV (10) P25 BLANCO
PMONT,103743,32823,50,0.00078,0.0911,0.0489,5.709,TIRADOR MET. MADRID AC/INOX 128X12MM TUBULAR KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
PMONT,5529,5530,50,0.00078,0.2137,0.1362,37.3,LIJA MADERA GRANO 100 PLIEGO,LIJA MADERA GRANO 120 PLIEGO
HUECH,137411,5620,50,0.00052,0.2347,0.0546,24.414,TAB. CANAL ESTRUCTURAL U 2X3X0.85X3MT 62X25,YESO-CARTON 10MM 2.4MT X 1.2MT
TALCA,102517,149983,50,0.00126,0.0992,0.0702,5.537,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 BALDE 500UN KHOR
MAIPU,32822,32823,50,0.00102,0.3425,0.0372,12.508,TORNILLO AGLOMERADO 3.5 X 20 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
HUECH,33903,5620,50,0.00052,0.2703,0.0546,28.109,TAB. MONTANTE NORMAL 60X38X6X0.5X2.4MT,YESO-CARTON 10MM 2.4MT X 1.2MT
HUECH,149973,149978,50,0.00052,0.1953,0.1208,44.944,TORN.VOLCANITA PTA AGUJA 1 1/4X6 ZINC RG 100U KHOR,TORN.VOLCANITA PTA AGUJA 2X6 ZINC RG 100UN KHOR
HUECH,19869,5620,50,0.00052,0.2193,0.0546,22.808,TAB. MONTANTE NORMAL 60X38X6X0.5X3.0MT,YESO-CARTON 10MM 2.4MT X 1.2MT
HUECH,72754,76615,50,0.00052,0.0988,0.1548,29.145,PLANCHA MDF 3MM 1.52 X 2.44,PLANCHA MDF 5.5MM 1.52 X 2.44
MAIPU,125031,32823,50,0.00102,0.1748,0.0372,6.385,TELESCOPICA H35-STD 25KG 400MM ZINCADO KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
RANCA,100124,95847,50,0.00102,0.1066,0.1429,14.92,MONTAJE AFIX 370 GR. ARTECOLA CART,SELLADOR ACRILICO PINTABLE BLANCO SOUDAL 300 ML.
HUECH,93706,95255,50,0.00052,0.431,0.3623,297.561,TUBO BAJADA D 80X3MT (3) P25 MARRON,CANALETA LARGO 4 MT (10) P25 MARRON
VESPU,126433,32823,50,0.00123,0.1152,0.096,8.967,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
TALCA,143601,149983,50,0.00126,0.1188,0.0702,6.629,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ,TORNILLO AGLOMERADO 3.5 X 15 BALDE 500UN KHOR
TALCA,102517,125036,50,0.00126,0.0992,0.0904,7.13,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ
HUECH,115846,72714,50,0.00052,0.0231,0.0909,3.997,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,PLANCHA MDF 500 18MM 1.52 X 2.44
SEREN,125050,126115,50,0.001,0.2222,0.0379,8.453,TELESCOPICA H35-CS 25KG 450MM ZINCADO KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
SEREN,126115,126178,50,0.001,0.0379,0.2016,7.669,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BOMBIN NEUMATICO 60N - 1 UNID KUTZ
RENAC,125056,139309,50,0.00066,0.1502,0.0752,17.209,TELESCOPICA H45-CS 30KG 500MM ZINCADO KUTZ,BISAG. 35 RECTA C/SUAVE-CLIP 10UNDS KUTZ
CONCE,122563,132618,50,0.00055,0.0209,0.4274,16.325,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,"MELAMINA ESPRESSO 15MM 1,83 X 2,50 VESTO"
RENAC,146540,146606,50,0.00066,0.1672,0.3623,92.359,CODO PVC SANITARIO GRIS 110MM,TEE PVC SANITARIO GRIS 110X110MM
RANCA,95625,98235,50,0.00102,0.1166,0.1812,20.684,TORNILLO VOLCANITA PTA AGUJA 1 1/4X6 ZINC R.GR 100,TORNILLO VOLCANITA PTA AGUJA 1X6 ZINC R.GR  100UN
MAIPU,133926,90040,50,0.00102,0.0407,0.0885,3.543,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN,PERILLA METALICA CILIND. 23X20MM NIQUEL SATIN
MAIPU,114693,130966,50,0.00102,0.0571,0.1205,6.756,SOBERBIO 3 16 X 2 100UNDS A.SCREW,"TAPACANTO PVC BLANCO 22X0,45MM RO 100MT"
HUECH,72328,72714,50,0.00052,0.0954,0.0909,16.528,PLANCHA MDF  9MM 1.52 X 2.44,PLANCHA MDF 500 18MM 1.52 X 2.44
CONCE,125031,133926,50,0.00055,0.069,0.0321,4.033,TELESCOPICA H35-STD 25KG 400MM ZINCADO KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,146522,146543,50,0.00052,0.2381,0.4545,206.206,TUBO FUSION PPR 20MM X 3MT PN-16,TEE FUSION PPR 20MM CCS
HUECH,102517,126115,50,0.00052,0.0928,0.0242,4.273,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ
HUECH,3822,3824,50,0.00052,0.4505,0.8475,727.34,CUBIERTA 60X60 AR,MARCO 60X60 AR
PMONT,139309,32823,50,0.00078,0.1214,0.0489,7.608,BISAG. 35 RECTA C/SUAVE-CLIP 10UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
RENAC,125054,32823,50,0.00066,0.165,0.0319,8.037,TELESCOPICA H45-CS 30KG 400MM ZINCADO KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
PMONT,103743,126433,50,0.00078,0.0911,0.0914,10.667,TIRADOR MET. MADRID AC/INOX 128X12MM TUBULAR KUTZ,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ
VESPU,128645,128648,50,0.00123,0.0635,0.1695,8.733,ESCUADRA PLASTICA BLANCA 50UNDS,SOPORTE REPISA PLASTICO/METAL BLANCO 50UNID
MAIPU,126115,126117,50,0.00102,0.0334,0.2203,7.218,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
HUECH,138144,5530,50,0.00052,0.1238,0.0652,15.372,RODILLO CONDOR CORTA GOTAS 18 CM,LIJA MADERA GRANO 120 PLIEGO
CONCE,122563,70003,50,0.00055,0.0209,0.3937,15.039,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,AGLOMERADO DESNUDO 15MM 1.52 X 2.42
HUECH,72328,72754,50,0.00052,0.0954,0.0988,17.965,PLANCHA MDF  9MM 1.52 X 2.44,PLANCHA MDF 3MM 1.52 X 2.44
SEREN,126115,72273,50,0.001,0.0379,0.1114,4.236,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 4 X 15 CAJA 100 UN
RENAC,125031,128645,50,0.00066,0.1171,0.0468,8.357,TELESCOPICA H35-STD 25KG 400MM ZINCADO KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
VESPU,112695,79039,50,0.00123,0.3597,0.108,31.506,HUAIPE SEDA BLANCO 1RA 1/2 KILO,DILUYENTE DP-100 DILOX 1 LT.
TALCA,122563,131026,50,0.00126,0.1109,0.0725,6.385,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
HUECH,21012,21740,50,0.00052,0.2242,0.3106,132.673,TORNILLO AGLOMERADO 3.5 X 30 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 40 100 UNIDADES
RENAC,125031,139309,50,0.00066,0.1171,0.0752,13.421,TELESCOPICA H35-STD 25KG 400MM ZINCADO KUTZ,BISAG. 35 RECTA C/SUAVE-CLIP 10UNDS KUTZ
HUECH,126037,126038,50,0.00052,0.062,0.3086,36.481,CINTA ENMASCARAR ESTÁNDAR TESA 48MMX40M,PROTECTOR PLASTICO PARA PINTAR 20 M2
TALCA,125056,133926,50,0.00126,0.1389,0.049,5.411,TELESCOPICA H45-CS 30KG 500MM ZINCADO KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,126115,6736,50,0.00052,0.0242,0.0753,3.469,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TARUGO PLASTICO 6MM   100 UNIDADES
VALPA,126115,98235,50,0.00186,0.059,0.1075,3.408,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO VOLCANITA PTA AGUJA 1X6 ZINC R.GR  100UN
MAIPU,100667,95255,50,0.00102,0.6944,0.6579,448.849,TAPA CANALETA UNIV (10) P25 MARRON,CANALETA LARGO 4 MT (10) P25 MARRON
PMONT,130966,5294,50,0.00078,0.1393,0.0752,13.418,"TAPACANTO PVC BLANCO 22X0,45MM RO 100MT",ADHES. CONTACTO AGOREX 60 HENKEL 1 LT.
CONCE,125036,32823,50,0.00055,0.0727,0.0484,6.424,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
VALPA,116983,94478,49,0.00182,0.1667,0.245,22.396,TORNILLO LENTEJA 8 X 1/2 PTA BROCA (CJ-100UND),TORNILLO VOLCANITA PTA BROCA 1.1/4X6 ZINCADO 100UN
HUECH,87336,87998,49,0.00051,0.2649,0.1445,74.433,TABIGAL ESTRUCTURAL OMEGA 38X35X15X8X0.85X 6MT,TAB. CANAL ESTRUCTURAL U 2X3X0.85X6MT 62X25
VALPA,115847,131026,49,0.00182,0.239,0.0961,12.596,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
RENAC,125036,128645,49,0.00064,0.125,0.0459,8.921,TELESCOPICA H45-STD 40KG 450MM ZINCADO KUTZ,ESCUADRA PLASTICA BLANCA 50UNDS
TALCA,103743,32823,49,0.00123,0.0914,0.069,5.117,TIRADOR MET. MADRID AC/INOX 128X12MM TUBULAR KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
HUECH,5203,92398,49,0.00051,0.1416,0.3101,85.39,RODILLO LIZCAL CHIPORRO NATURAL 18CM UNI,BROCHA LIZCAL MEDIA O STD 1/2 X 3 UNI
RENAC,123690,6107,49,0.00064,0.3798,0.2068,122.156,CAÑERIA COBRE M 1/2 X 3.0 MT AGUA,CODO SO SO BRONCE 1/2
MAIPU,126115,98014,49,0.001,0.0327,0.1485,4.866,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,ADHES. CONTACTO AFIX PREN ARTECOLA 1/4 GLN.
VALPA,22960,5620,49,0.00182,0.1091,0.1148,6.869,PINO BRUTO 2 X 2 X 3.20 MTS.,YESO-CARTON 10MM 2.4MT X 1.2MT
CONCE,125031,126433,49,0.00054,0.0676,0.0819,10.31,TELESCOPICA H35-STD 25KG 400MM ZINCADO KUTZ,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ
HUECH,126037,5203,49,0.00051,0.0608,0.1416,16.739,CINTA ENMASCARAR ESTÁNDAR TESA 48MMX40M,RODILLO LIZCAL CHIPORRO NATURAL 18CM UNI
RANCA,125035,133926,49,0.001,0.1025,0.0533,5.464,TELESCOPICA H45-STD 40KG 400MM ZINCADO KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,21740,32823,49,0.00051,0.3043,0.072,42.576,TORNILLO AGLOMERADO 3.5 X 40 100 UNIDADES,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
MAIPU,126115,126182,49,0.001,0.0327,0.205,6.719,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BOMBIN NEUMATICO 80N - 1 UNID
MAIPU,1205,128315,49,0.001,0.0298,0.1354,4.037,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44","MELAMINA BLANCA 15MM 1,83 X 2,44 SWED"
PMONT,120413,124271,49,0.00076,0.0534,0.1412,9.865,CORTE MELAMINA 60CMX120CM,CORTE CHOLGUAN 60CMX120CM
CONCE,100654,95255,49,0.00054,0.6049,0.5568,627.087,BAJADA CEMENTAR (10) P25 MARRON,CANALETA LARGO 4 MT (10) P25 MARRON
TALCA,110307,1205,49,0.00123,0.1222,0.0524,5.188,"TAPACANTO PVC BLANCO 22X0,45MM  RO 50MT","DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
RANCA,126116,32823,49,0.001,0.1145,0.0508,5.817,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
CONCE,126433,133926,49,0.00054,0.0819,0.0314,4.791,BISAG. 35  RECTA SIN TORNILLOS - 10UNDS KUTZ,TAPA SOBERBIO ADHES 12MM BLANCO MATE SET 50 UN
HUECH,128645,150062,49,0.00051,0.0409,0.0842,6.69,ESCUADRA PLASTICA BLANCA 50UNDS,BISAG. 35 RECTA C/SUAVE INSEPARABLE S/TOR-2UN KHOR
RENAC,5527,5528,49,0.00064,0.3427,0.142,75.7,LIJA MADERA GRANO 60 PLIEGO,LIJA MADERA GRANO 80 PLIEGO
SEREN,122563,131026,49,0.00098,0.13,0.0629,8.371,MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
PMONT,128645,150001,49,0.00076,0.0435,0.1701,9.672,ESCUADRA PLASTICA BLANCA 50UNDS,SOBERBIO 3 16 X 2 - BOLSA 100UN KHOR
RENAC,32392,98920,49,0.00064,0.4336,0.1561,105.256,SALIDA CAJA CONDUIT 20MM,TUBO CONDUIT PVC  20MM  TIRA 3MT
MAIPU,125030,74236,49,0.001,0.1655,0.0858,14.241,TELESCOPICA H35-STD 25KG 350MM ZINCADO KUTZ,"TAPACANTO ENCOLADO BLANCO 22X0,45MM RO 25 MT"
TEMUC,72573,72714,49,0.00424,0.3858,0.1744,15.879,PLANCHA MDF 500 18MM 1.52 X 3.66,PLANCHA MDF 500 18MM 1.52 X 2.44
HUECH,20232,554,49,0.00051,0.3161,0.2025,124.449,RIEL GALVANIZADO DUCASSE U-20 TIRA 1.50MTS,CORREDERA DUCASSE D7-D14 SIMPLE CON POLIN
CONCE,126115,143258,49,0.00054,0.0297,0.0982,5.432,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BOLSA VEGETAL 45X40X12 KUTZ
CONCE,126115,95628,49,0.00054,0.0297,0.084,4.65,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,TORNILLO VOLCANITA PTA AGUJA 2X6 ZINC R.GR 100UN
RENAC,125055,139309,49,0.00064,0.0916,0.0737,10.497,TELESCOPICA H45-CS 30KG 450MM ZINCADO KUTZ,BISAG. 35 RECTA C/SUAVE-CLIP 10UNDS KUTZ
MAIPU,32823,98014,49,0.001,0.0364,0.1485,5.423,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES,ADHES. CONTACTO AFIX PREN ARTECOLA 1/4 GLN.
