cod_tienda,anio,pasillo,rack,venta
CONCE,2025,016,016-2-03,12440578.99159664
CONCE,2025,016,016-2-04,3791070.5882352944
CONCE,2025,017,017-1-01,170282.35294117648
CONCE,2025,017,017-1-02,766614.2857142857
CONCE,2025,017,017-1-03,1320500.0
CONCE,2025,017,017-1-06,1006891.5966386555
CONCE,2025,017,017-1-07,15638811.764705883
CONCE,2025,017,017-1-08,94075.63025210085
CONCE,2025,017,017-1-09,1368302.5210084035
CONCE,2025,017,017-1-10,1940893.2773109244
CONCE,2025,017,017-2-01,84210.9243697479
CONCE,2025,017,017-2-02,3670670.5882352944
CONCE,2025,017,017-2-03,32039759.663865548
CONCE,2025,017,017-2-04,13218205.042016808
CONCE,2025,017,017-2-05,20727073.949579835
CONCE,2025,018,018-1-01,1036177.3109243698
CONCE,2025,018,018-1-02,629929.4117647059
CONCE,2025,018,018-1-03,271378.99159663863
CONCE,2025,018,018-1-04,121559.66386554623
CONCE,2025,018,018-1-05,1522522.6890756304
CONCE,2025,018,018-1-06,723901.680672269
CONCE,2025,018,018-1-07,258233.61344537814
CONCE,2025,018,018-1-09,491694.11764705885
CONCE,2025,018,018-2-01,144415.96638655462
CONCE,2025,018,018-2-03,772473.1092436975
CONCE,2025,018,018-2-04,2240112.605042017
CONCE,2025,018,018-2-05,1830261.344537815
CONCE,2025,018,018-2-07,465159.66386554623
CONCE,2025,018,018-2-08,2213615.9663865548
CONCE,2025,018,018-2-09,2712997.478991597
CONCE,2025,018,018-2-10,1180073.1092436975
CONCE,2025,019,019-1-01,352429.41176470584
CONCE,2025,019,019-1-02,113117.64705882354
CONCE,2025,019,019-1-03,155588.23529411765
CONCE,2025,019,019-1-05,1227487.3949579832
CONCE,2025,019,019-1-06,415029.4117647059
CONCE,2025,019,019-1-07,16159.66386554622
CONCE,2025,019,019-1-08,490431.9327731093
CONCE,2025,019,019-1-09,817424.3697478992
CONCE,2025,019,019-1-10,874978.9915966387
CONCE,2025,019,019-2-01,622845.3781512605
CONCE,2025,019,019-2-03,856383.193277311
CONCE,2025,019,019-2-04,1229081.512605042
CONCE,2025,019,019-2-06,1791426.050420168
CONCE,2025,019,019-2-07,562635.2941176471
CONCE,2025,019,019-2-08,3582887.3949579834
CONCE,2025,019,019-2-09,7441031.9327731095
CONCE,2025,020,020-1-01,8407967.226890756
CONCE,2025,020,020-1-02,11800915.966386555
CONCE,2025,020,020-1-03,21007057.142857146
CONCE,2025,020,020-1-04,26399078.151260506
CONCE,2025,020,020-1-05,7163476.470588236
CONCE,2025,020,020-2-01,2756528.5714285714
CONCE,2025,020,020-2-02,1026457.142857143
CONCE,2025,020,020-2-03,1124365.5462184874
CONCE,2025,020,020-2-04,603524.3697478992
CONCE,2025,020,020-2-05,259679.83193277312
CONCE,2025,020,020-2-06,934100.0
CONCE,2025,021,021-1-01,4099339.4957983196
CONCE,2025,021,021-1-02,3785740.3361344542
CONCE,2025,021,021-1-03,11924814.285714287
CONCE,2025,021,021-1-04,466042.0168067227
CONCE,2025,021,021-1-05,3765957.9831932774
CONCE,2025,021,021-2-01,2095731.0924369749
CONCE,2025,021,021-2-02,11142264.705882354
CONCE,2025,021,021-2-03,3561538.655462185
CONCE,2025,021,021-2-04,10237683.19327731
CONCE,2025,021,021-2-05,953757.142857143
CONCE,2025,022,022-1-01,2692824.3697478995
CONCE,2025,022,022-1-02,12243836.134453783
CONCE,2025,022,022-1-03,5448371.428571429
CONCE,2025,022,022-1-04,5289166.386554622
CONCE,2025,022,022-1-05,15570729.411764707
CONCE,2025,022,022-1-06,104463.02521008404
CONCE,2025,022,022-2-01,10801900.0
CONCE,2025,022,022-2-02,11262183.19327731
CONCE,2025,022,022-2-03,6542263.025210084
CONCE,2025,022,022-2-04,14993494.11764706
CONCE,2025,022,022-2-05,9753732.773109244
CONCE,2025,022,022-2-07,4994903.361344538
CONCE,2025,023,023-1-01,9567983.19327731
CONCE,2025,023,023-1-02,7610742.857142857
CONCE,2025,023,023-2-01,7014411.764705882
CONCE,2025,023,023-2-02,3730526.890756303
CONCE,2025,023,023-2-03,5443922.68907563
CONCE,2025,023,023-2-04,1420942.0168067229
CONCE,2025,023,023-2-05,917205.8823529412
CONCE,2025,023,023-2-06,2537256.3025210085
CONCE,2025,024,024-1-01,9355630.25210084
CONCE,2025,024,024-1-02,5143193.277310925
CONCE,2025,024,024-2-01,2157890.756302521
CONCE,2025,024,024-2-02,8262063.025210084
CONCE,2025,025,025-1-01,5483953.781512605
CONCE,2025,025,025-2-01,3623672.2689075633
CONCE,2025,025,025-2-02,8414904.201680673
CONCE,2025,026,026-1-01,5599003.361344539
CONCE,2025,026,026-1-02,2027787.3949579834
CONCE,2025,027,027-1-01,5055096.638655462
CONCE,2025,027,027-1-02,3936325.2100840337
CONCE,2025,027,027-2-01,2234119.3277310925
CONCE,2025,027,027-2-02,5143510.924369748
CONCE,2025,028,028-1-01,5593768.907563025
CONCE,2025,028,028-1-02,22437648.7394958
CONCE,2025,028,028-2-01,4805325.210084034
CONCE,2025,028,028-2-02,4926770.588235294
CONCE,2025,029,029-2-01,5043394.117647059
CONCE,2025,029,029-2-02,3361258.823529412
CONCE,2025,029,029-2-03,9626331.092436975
CONCE,2025,029,029-2-04,5742404.201680672
CONCE,2025,029,029-2-05,4268476.470588235
CONCE,2025,029,029-2-06,5703367.226890757
CONCE,2025,029,029-2-07,9857990.75630252
CONCE,2025,029,029-2-08,8297334.453781513
CONCE,2025,029,029-2-09,3955905.042016807
CONCE,2025,029,029-2-10,4225870.588235294
CONCE,2025,030,030-1-01,4592552.100840337
CONCE,2025,030,030-1-02,6423310.924369749
CONCE,2025,030,030-1-03,9273639.49579832
CONCE,2025,030,030-1-04,6355427.731092437
CONCE,2025,030,030-1-05,5472547.05882353
CONCE,2025,030,030-1-06,5543486.554621849
CONCE,2025,030,030-1-07,12838750.420168068
CONCE,2025,030,030-1-08,2919270.5882352944
CONCE,2025,030,030-1-09,11926658.823529413
CONCE,2025,030,030-1-10,6691058.823529412
CONCE,2025,030,030-1-11,27409078.99159664
CONCE,2025,030,030-1-12,38466478.99159664
CONCE,2025,030,030-1-13,42374364.705882356
CONCE,2025,031,031-1-01,5023988.235294118
CONCE,2025,031,031-1-02,13500208.403361345
CONCE,2025,031,031-1-03,4552853.781512605
CONCE,2025,031,031-1-04,8074117.647058824
CONCE,2025,031,031-1-05,2363537.8151260507
CONCE,2025,031,031-1-06,18629809.24369748
CONCE,2025,031,031-1-07,11262440.336134454
CONCE,2025,031,031-2-03,6201.680672268908
CONCE,2025,032,032-1-08,1238548.7394957982
CONCE,2025,032,032-2-01,10642142.016806724
CONCE,2025,032,032-2-02,4069766.386554622
CONCE,2025,032,032-2-03,12538616.80672269
CONCE,2025,032,032-2-04,1476180.6722689075
CONCE,2025,032,032-2-05,1579274.7899159663
CONCE,2025,032,032-2-06,7508663.865546219
CONCE,2025,032,032-2-07,7131628.571428572
CONCE,2025,032,032-2-08,1594257.1428571427
CONCE,2025,032,032-2-09,536109.243697479
CONCE,2025,035,035-2-07,48470.58823529412
CONCE,2025,036,036-2-10,239289.0756302521
CONCE,2025,036,036-2-13,7257.983193277311
CONCE,2025,037,037-1-12,9045.378151260506
CONCE,2025,038,038-1-08,48378.15126050421
CONCE,2025,038,038-2-04,163250.42016806724
CONCE,2025,039,039-2-17,68478.99159663866
CONCE,2025,039,039-2-22,142453.78151260503
CONCE,2025,040,040-1-01,135882.35294117648
CONCE,2025,050,050-1-01,20275112.605042018
CONCE,2025,050,050-1-02,3175732.7731092437
CONCE,2025,050,050-1-03,11716342.857142858
CONCE,2025,050,050-1-04,1110035.2941176472
CONCE,2025,050,050-1-06,325991.59663865546
CONCE,2025,050,050-1-19,1895463.8655462186
CONCE,2025,050,050-1-20,884368.0672268908
CONCE,2025,050,050-1-21,1975500.0
CONCE,2025,050,050-1-22,6092357.983193277
CONCE,2025,050,050-2-01,1221605.0420168068
CONCE,2025,050,050-2-02,25369836.13445378
CONCE,2025,050,050-2-03,12247891.596638655
CONCE,2025,050,050-2-04,7554949.579831933
CONCE,2025,051,051-1-01,115366257.14285715
CONCE,2025,051,051-1-02,430149427.73109245
CONCE,2025,051,051-1-03,1536434708.4033613
CONCE,2025,051,051-1-04,12943232.773109244
CONCE,2025,051,051-1-05,60833096.63865547
CONCE,2025,051,051-1-06,370799.1596638656
CONCE,2025,051,051-1-08,10669181.512605043
CONCE,2025,051,051-1-10,36364503.36134454
CONCE,2025,051,051-2-02,39126014.28571428
CONCE,2025,052,052-1-01,96687283.19327731
CONCE,2025,052,052-1-02,1161391.5966386555
CONCE,2025,052,052-1-03,8557526.890756303
CONCE,2025,053,053-1-01,60350.42016806723
CONCE,2025,053,053-1-08,7977924.3697478995
CONCE,2025,053,053-1-09,2473290.756302521
CONCE,2025,053,053-2-09,57058.82352941177
CONCE,2025,054,054-1-03,343495.79831932776
CONCE,2025,054,054-1-04,383821.00840336137
CONCE,2025,054,054-1-09,1006041.1764705882
CONCE,2025,054,054-1-10,1028586.5546218487
CONCE,2025,054,054-1-14,245865.5462184874
CONCE,2025,054,054-2-06,310394.9579831933
CONCE,2025,054,054-2-07,22599877.31092437
CONCE,2025,054,054-2-08,3939568.907563025
CONCE,2025,054,054-2-10,9756841.176470589
CONCE,2025,054,054-2-11,1526134.4537815126
CONCE,2025,055,055-1-02,319428.5714285715
CONCE,2025,055,055-2-05,1316438.655462185
CONCE,2025,055,055-2-09,565460.5042016807
CONCE,2025,055,055-2-12,12028305.88235294
CONCE,2025,055,055-2-14,1506343.6974789915
CONCE,2025,056,056-1-01,1363797.4789915967
CONCE,2025,056,056-1-02,9607075.6302521
CONCE,2025,056,056-1-05,691903.3613445378
CONCE,2025,056,056-1-09,428867.2268907563
